Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Emergency Rental Housing Assistance,Housing Authority of Cook County,"Rental and utility assistance, as well as housing services to offset evictions","The Emergency Rental Assistance Program will provide funds to support residents who are behind on rent, utilities, and household expenses and will cover forward rent to support renter household stability. The program will also fund additional housing services and supports to offset evictions and further increase household stability. Cook County will administer this program in partnership with the Housing Authority of Cook County.",Housing,Renter's Assistance,1.49,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA,Emergency Rental Housing Assistance (ERA2),Chicago Department of Housing,Assistance for households that are unable to pay rent or utilities,Provides funding to assist households that are unable to pay rent or utilities,Housing,Renter's Assistance,102.2,2021-09-20,2024-12-31,0,1,"https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff""><a href = ""https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff","<a href = ""https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff"">U.S. Department of the Treasury Emergency Rental Assistance Program Payments/USA Spending</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Fixed-Site Emergency Shelter for People Experiencing Homelessness,The Bureau of Economic Development,Shelter services for people experiencing homelessness,The Bureau of Economic Development will support organizations within the Cook County Continuum of Care to stand up fixed-site shelter in 5-7 locations to provide health and safety to people in a housing crisis who cannot be diverted from homelessness. These organizations will also provide shelter services to ensure their experience of homelessness is short by reconnecting them to housing and other supports.,Housing,Homelessness Support/Prevention,1.49,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,High utilizer diversion housing,Chicago Department of Public Health,Behavioral health services to support stable housing for high utilizers of emergency services,Provides behavioral health services to support stable housing for high utilizers of emergency services,Housing,Homelessness Support/Prevention,12,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,CARES,Homeless Assistance Grants (Emergency Solution Grants),U.S. Department of Housing and Urban Development,Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities",Housing,Homelessness Support/Prevention,54.2,2020-06-01,2021-12-31,1,1,"https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>"
Cook County,CARES,Homeless Assistance Grants (Emergency Solution Grants),U.S. Department of Housing and Urban Development,Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities.",Housing,Homelessness Support/Prevention,8.86,2020-06-01,2021-12-31,1,1,"https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>"
Illinois,CARES,Homeless Assistance Grants (Emergency Solution Grants),U.S. Department of Housing and Urban Development,Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities.",Housing,Homelessness Support/Prevention,42.87,2020-06-01,2021-12-31,1,1,"https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Homeless Youth Services,Illinois Department of Human Services,Programs supporting youth experiencing homelessness,Programs supporting youth experiencing homelessness,Housing,Homelessness Support/Prevention,1,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Cook County,ARPA,Homelessness Assistance & Supportive Services (aka HOME-ARP program),U.S. Department of Housing and Urban Development,"Supportive services, affordable housing, and homeless shelters","Funds to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness",Housing,Affordable Housing,23.84,2021-04-08,2025-09-30,0,1,"https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>"
Illinois,ARPA,Homelessness Assistance & Supportive Services (aka HOME-ARP program),U.S. Department of Housing and Urban Development,"Supportive services, affordable housing, and homeless shelters","Funds to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness",Housing,Affordable Housing,62.08,2021-04-08,2025-09-30,0,1,"https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>"
Chicago,ARPA,Homelessness Assistance & Supportive Services (HOME-ARP program),U.S. Department of Housing and Urban Development,"Supportive services, affordable housing, and homeless shelters","These funds can be used to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness",Housing,Homelessness Support/Prevention,71.17,2021-04-08,2025-09-30,0,1,"https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf""><a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf","<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Homeowner Assistance Fund,Illinois Housing Development Authority,"Funding to help prevent mortgage delinquency, defaults, foreclosures, loss of utilities or home energy services, or homeowner displacement","Provides funding to help prevent mortgage delinquency, defaults, foreclosures, loss of utilities or home energy services, or the displacement of homeowners experiencing financial hardships",Housing,Homeowner's Assistance,386.9,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA,Homeowner Assistance Fund,U.S. Department of the Treasury,Funds to assist homeowners with delinquent mortgage payments,"This program provides relief for vulnerable homeowners. The law prioritizes homeowners who have experienced the greatest hardships, leveraging local and national income indicators to maximize intended impact. Funds can be used to make delinquent mortgage payments. States must request funds and will receive funds based on their unemployment rate, number of mortgages in foreclosure, and number of mortgages that are past due.",Housing,Homeowner's Assistance,386.9,2021-04-14,2025-09-30,0,1,"https://home.treasury.gov/system/files/136/HAF-state-territory-data-and-allocations.pdf""><a href = ""https://home.treasury.gov/system/files/136/HAF-state-territory-data-and-allocations.pdf","<a href = ""https://home.treasury.gov/system/files/136/HAF-state-territory-data-and-allocations.pdf"">U.S. Department of Treasury Homeowner Assistance Fund Allocations</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Hotel-based sheltering,Cook County Bureau of Economic Development,Hotel-based sheltering for people experiencing homelessness,"The Bureau of Economic Development will continue the hotel-based sheltering approach implemented during the pandemic, when the existing PADS model of shelter with congregate shelter in rotating church basements was no longer viable",Housing,Homelessness Support/Prevention,1.49,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,Chicago General Obligation Bond,Non-congregate housing program,Chicago Department of Housing,Expands hotel and lodging building programs,Expands program to utilize former hotel and lodging buildings for use as permanent supportiev housing,Housing,Homelessness Support/Prevention,30,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Chicago,Chicago General Obligation Bond,Owner-occupied repair grants,Chicago Department of Housing,Loans and grants for home rehabilitation,Provides forgivable loans and grants to qualified homeowners for rehab and repair services that will help them safely remain in their homes,Housing,Homeowner's Assistance,18,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Chicago,Chicago General Obligation Bond,Permanent supportive housing,Chicago Department of Housing,New permanent supportive housing units,Creates new units for permanent supportive housing across newly rehabilitated housing buildings,Housing,Homelessness Support/Prevention,35,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Permanent supportive housing for people experiencing homelessness,Agency lead not specified,Creation of 250 permanent supportive housing units,"Cook County will create 250 new units of permanent supportive housing, a nationally recognized best practice for ending homelessness. Permanent supportive housing is a housing model that pairs non-time-limited rental subsidies with individualized, intensive, supportive services to help households maintain independent living and housing stability.",Housing,Homelessness Support/Prevention,1.49,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Rapid rehousing program,Chicago Department of Family and Support Services,Rehousing and wraparound services for people at risk of homelessness and domestic violence,"Provides funds for people at risk of homelessness, including those at risk of domestic violence, to access rehousing services and wraparound services en route to permanent housing solutions",Housing,Homelessnes Support/Prevention,19.5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Chicago,Chicago General Obligation Bond,Shelter infrastructure investments,Chicago Department of Family and Support Services,Repairs and renovations to homeless shelters,"Repair and make critical renovations to Chicago's homeless shelters, including conversion into non-congregate housing",Housing,Homelessness Support/Prevention,20,2022-10-06,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Supportive housing services,Illinois Department of Human Services,Increasing affordable and supportive housing supply,Increasing the supply of affordable housing and supportive housing and addressing homelessness to build stronger communities,Housing,Affordable Housing,28.05,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
