Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA State and Local Fiscal Recovery Funds,Vacant lot reduction strategy,Chicago Department of Planning and Development,A wealth-building program transferring ownership of City-owned land to neighborhood residents,Reactivates vacant City-owned land and build community wealth by streamlining environmental reviews and transferring ownership to neighborhood residents for community benefit,Community Investment,Community Development,5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Advancing equitable recovery in the Southland/building capacity in the Southland,Southland Development Authority,Small business growth programs,"The Southland Metals Hub will develop the regions cluster of small and medium-sized metals, machinery, and equipment (MM&E) firms. The Metals Hub will help firms recover from disruption to supply chains caused by the pandemic, using existing strengths and capacity to bolster productivity. Resource combination will include market research, inter-company cooperation, and networking, collaboration for market penetration, technology acquisition, and economies of scale development. Outreach to potential members will include a focus on BIPOC/women-owned enterprises and businesses located in communities composed of those most disproportionately impacted by the pandemic.",Community Investment,Small Business,12.35,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Broadband Expansion at HACC Properties,Agency lead not specified,Upgrade broadband infrastructure at all Housing Authority of Cook County (HACC) properties,This initiative will upgrade broadband infrastructure at all Housing Authority of Cook Countyowned (HACC) properties. Current network infrastructure can only support 2-3 users at a time and is inadequate to meet the needs of both staff and residents who use the communal computers. This upgrade responds to the increased need for Internet access among HACC residents and staff due to COVID-19 restrictions and will additionally address the digital divide by providing low-income residents access to high-speed Internet.,Community Investment,Infrastructure,2.11,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Chicago Southland Fiber Network Expansion,Agency lead not specified,Extension of broadband infrastructure into south suburban communities,"The Chicago Southland Fiber Network provides gigabit broadband to government, education, healthcare, and businesses. Cook County will support the extension of the broadband infrastructure into south suburban communities with the highest Social Vulnerability Index (SVI) scores in the State of Illinois. Cook County will also add public WiFi access in certain anchor institutions, education institutions and government institutions that serve vulnerable communities.",Community Investment,Infrastructure,2.11,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Community Investment,Community Development,16.02,2020-09-25,2021-12-31,1,1,"https://www.hud.gov/program_offices/comm_planning/budget/fy20""><a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20","<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Digital equity planning,Agency lead not specified,Development of an action plan on digital divide in suburban Cook County,"To coordinate long-term digital equity work, Cook County will develop an action plan to evaluate where suburban Cook’s digital divide exists and outline solutions to cover gaps in broadband access, physical connectivity infrastructure, and financial barriers residents face when accessing digital devices and connections.",Community Investment,Community Development,2.11,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Electric vehicle charging stations,Cook County Department of Transportation and Highways,"Funding for electric vehicle charging stations, especially in areas with large service gaps","This initiative involves four components related to increasing access to electric vehicle charging stations throughout Cook County, focusing on where there are currently large gaps in service areas, primarily in the south and west suburbs, through installing 50 Level 2 charging stations, 10 DC fast chargers, 10 Level 2 streetlight charging stations and purchasing one allelectric bus and wireless charger installation to pilot at the Department of Corrections Campus.",Community Investment,Infrastructure,15.26,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Invest in Cook expansion,Cook County Department of Transportation and Highways,Expanding a grant program for transportation infrastructure projects,"Invest in Cook is an existing grant program that annually awards $8.5 million to communities to advance local transportation infrastructure projects that implement the priorities of the County's long-range transportation plan and support economic outcomes. The expansion of this program will increase the award amount for broader infrastructure projects over the next three years, including planning and feasibility studies and engineering, yielding an additional $25 million investment overall.",Community Investment,Infrastructure,15.26,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Lead pipe removal at Vera Yates Homes and Richard Flowers Home,Cook County Department of Transportation and Highways,Removal of remaining lead water pipes at two Housing Authority of Cook County (HACC) affordable family housing properties,"This initiative will remove remaining lead water pipes at two Housing Authority of Cook County (HACC) affordable family housing properties: the Vera Yates Homes in Ford Heights and the Richard Flowers Homes in Robbins. This funding will allow HACC to remove all lead pipes at each of these properties, preventing children living at these sites from suffering irreparable, life-long neurological damage associated with lead exposure, and provide all residents of these developments a healthier, safer living environment.",Community Investment,Infrastructure,3.75,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Lead service pipe replacement pilot,Cook County Bureau of Economic Development,"Management for lead, leaking, and obsolete service line replacements in high-risk communities","Coordinated by the Bureau of Economic Development, Cook County will partner with Elevate to conduct the replacement of developmentally harmful lead service lines across Suburban Cook County. The pilot is two-pronged - it will direct replacement of lead service lines and prioritize community engagement for education & readiness for future lead service line replacement.  This program will target high-risk communities, including improvements to individual homes and high-risk facilities, including preschools, daycare centers, home daycare providers, group daycare homes, parks, playgrounds, hospitals, and clinics. Communities with a need for education and technical assistance were identified through community engagement and records from the local utility.",Community Investment,Infrastructure,3.75,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Rain Ready Plan implementation,Cook County Department of Transportation and Highways,Stormwater management programs in high flood-risk communities,"Cook County partnered with the Center for Neighborhood Technology to create a Rain Ready plan for the Calumet Corridor, which includes Blue Island, Calumet City, Calumet Park, Dolton, Riverdale, and Robbins and has a history of both disinvestment and flooding. The Department of Environment and Sustainability will put these six communities on a path towards greater resilience by implementing many of the recommended projects to improve stormwater management through green infrastructure and sustainable economic development.",Community Investment,Infrastructure,3.75,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Small business assistance,Cook County Bureau of Economic Development,"Advising services, webinars, and recovery grants for small businesses","The Small Business Assistance Program supports a coordinated network of over 30 partners that provide one-on-one business advising, webinars, and recovery grants. New funding will further build the capacity of partners to deliver services, increase availability of services in suburban Cook, and support the establishment of a Cook County “One-Stop Small Business Service Center.”",Community Investment,Small Business,12.35,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Small Business Grant Program,Cook County Bureau of Economic Development,Grants to small businesses with less than 20 employees and early-stage businesses impacted by Covid-19,"Grants to small businesses with less than 20 employees that continue to suffer from the impacts of COVID-19, as well as early-stage businesses formed since the onset of COVID-19. The grants will position businesses for growth and a sustainable path forward.",Community Investment,Small Business,12.35,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Stormwater management project implementation,Cook County Department of Transportation and Highways,Stormwater management programs in high flood-risk communities,Cook County will provide funding to the Metropolitan Water Reclamation District of Greater Chicago (MWRD) to support stormwater management in communities that experience significant flooding. This funding will allow MWRD to expand beyond funding to include overall responsibility for stormwater management project implementation since local capacity constraints currently limit the existing program's impact.,Community Investment,Infrastructure,3.75,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Transforming Places,Cook County Bureau of Economic Development; Cook County Equity Fund Taskforce,Economic and community development planning,"Cook County will identify high vulnerability communities and co-design a process to meet community-defined needs for economic development, community building, community safety, public health, education or social services. The County will support communities over a sustained period to ensure implementation and capacity-building, as well as helping attract additional public, private, and philanthropic resources.",Community Investment,Community Development,3.59,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,American Rescue Plan Capital Assets Program,Illinois Department of Commerce and Economic Opportunity,Support improvements and investments in commecial corridors and downtowns,"To support improvements and encourage investment in commercial corridors and downtowns that have experienced disinvestment, particularly in communities hardest hit by COVID-19. Through this program, DCEO can fund projects that make these areas more attractive for private investment, generate short-term and long-term employment opportunities, and improve quality of life in the community through high-quality infrastructure and amenities.",Community Investment,Community Development,45,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Back to Business Grant Program,Illinois Department of Commerce and Economic Opportunity,Funds for businesses for revenue loss recovery,"For general business recovery and to offset losses during the pandemic, including a set aside for businesses that applied but did not receive funding under the Business Interruption Grant Program (BIG) and a set aside for business regrowth and renewal",Community Investment,Small Business,300,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA,Capital Projects Fund,U.S. Department of the Treasury,"Capital projects related to work, education, and health monitoring","Funds for capital projects directly enabling work, education, and health monitoring, including remote options, in response to the Covid-19 pandemic",Community Investment,Infrastructure,253.68,2021-08-01,2021-09-30,1,1,"https://home.treasury.gov/system/files/136/Allocations-States.pdf""><a href = ""https://home.treasury.gov/system/files/136/Allocations-States.pdf","<a href = ""https://home.treasury.gov/system/files/136/Allocations-States.pdf"">U.S. Department of the Treasury</a>"
Illinois,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Community Investment,Community Development,70.75,2020-09-25,2021-12-31,1,1,"https://www.hud.gov/program_offices/comm_planning/budget/fy20""><a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20","<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>"
Illinois,ARPA,Economic Adjustment Assistance,U.S. Department of Commerce,Broad funding for statewide economic development planning,"This funding supports statewide planning efforts to boost economic development, combat the climate crisis, and recover from the pandemic",Community Investment,Community Development,1,2021-10-01,2024-03-31,1,1,"https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325""><a href = ""https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325","<a href = ""https://www.usaspending.gov/award/ASST_NON_ED22CHI3070001_1325"">USASpending</a>"
Illinois,ARPA,"Economic Adjustment Assistance Travel, Tourism, and Outdoor Recreation Program",U.S. Department of Commerce,Funding for state tourism efforts,"This funding supports marketing, infrastructure, workforce, and other project support to rejuvenate safe leisure, business, and international travel as part of the EDA's travel, tourism, and outdoor recreation program",Community Investment,Community Development,18.43,2021-11-08,NA,0,1,"https://www.usaspending.gov/award/ASST_NON_067906356_1325""><a href = ""https://www.usaspending.gov/award/ASST_NON_067906356_1325","<a href = ""https://www.usaspending.gov/award/ASST_NON_067906356_1325"">USASpending</a>"
