Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Guaranteed Income Program,Agency lead not specified,Recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability,The Cook County Guaranteed Income Program will provide recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability. The Guaranteed Income Program builds on the demonstrated success of guaranteed income programs in other jurisdictions in increasing residents’ financial stability and improving their health outcomes. Cook County’s program will include a research evaluation component to help the County better understand participant impacts.,Household Investment,Direct Cash Assistance,3.59,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Veteran grant program,Cook County Department of Veterans Affairs,Establishing a fund to provide grants for community-based veteran service organizations and veteran-owned businesses,The Department of Veterans Affairs will establish a fund to provide grants to community-based veteran service organizations and veteran-owned businesses. The Veteran Grant Program will begin with a seed of $5 million for grants in the following areas: Program Enhancement; Capital Improvements; and Small Business Development.,Household Investment,Targeted Economic Assistance,3.59,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Illinois,CARES,Child Care and Development Block Grant,U.S. Department of Health and Human Services,Child assistance for low-income families,"These funds supplement general revenue funds for child care assistance for low-income families. The supplemental funding must be used for activities authorized under the CCDBG Act that prevent, prepare for, and respond to the Covid-19 pandemic.",Household Investment,Household Supportive Services,118.42,2020-04-15,2023-09-30,1,1,"https://www.acf.hhs.gov/occ/data/2020-cares-act-ccdbg-supplemental-funding-allocations-states-and-territories""><a href = ""https://www.acf.hhs.gov/occ/data/2020-cares-act-ccdbg-supplemental-funding-allocations-states-and-territories","<a href = ""https://www.acf.hhs.gov/occ/data/2020-cares-act-ccdbg-supplemental-funding-allocations-states-and-territories"">U.S. Department of Health and Human Services 2020 CARES Act CCDBG Supplemental Allocations</a>"
Illinois,ARPA,Low Income Home Energy Assistance Program,Illinois Department of Commerce and Economic Opportunity,Provides home energy bill assistance,"The Low-Income Home Energy Assistance Program (LIHEAP) provides assistance in managing costs associated with home energy bills, energy crises, weatherization and energy-related minor home repairs",Household Investment,Utility Assistance,252.79,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,CARES,Low Income Home Energy Assistance Program,U.S. Department of Health and Human Services,Provides home energy bill assistance,"The Low Income Home Energy Assistance Program (LIHEAP) provides assistance in managing costs associated with home energy bills, energy crises, weatherization and energy-related minor home repairs",Household Investment,Household Supportive Services,42,2022-09-15,2021-09-30,1,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA,Low Income Household Water Assistance Program,Illinois Department of Commerce and Economic Opportunity,Assists low-income households with affordable drinking water and wastewater services,"The Low Income Household Water Assistance Program will assist low-income households, particularly those with the lowest incomes and that pay a high proportion of household income for drinking water and wastewater services, by providing funds to owners or operators of public water systems or treatment works to reduce arrearages of and rates charged to low-income households for water and wastewater services.",Household Investment,Utility Assistance,55,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Unemployment Insurance Extension Implementation Grants,Illinois Department of Employment Security,Implementation of extended unemployment insurance,These funds support implementation of extended unemployment insurance,Household Investment,Household Supportive Services,0.28,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,211 System,Chicago Department of Family Support Services,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Aid for Chicagos vulnerable students,Chicago Office of Budget and Management,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Cash Assistance Initiatives,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Chicago Resilient Communities Pilot,Chicago Department of Family Support Services,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Domestic Worker Cash Assistance,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Increasing access to broadband internet connection,Office of Budget and Management,NA,NA,Household Investment,Utility Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Legal Protection Fund,Chicago Department of Family Support Services,NA,NA,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Neighborhood Broadband Connectivity,NA,NA,NA,Household Investment,Utility Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Resiliency Fund 2.0,NA,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Cook County,ARPA State and Local Fiscal Recovery Funds,Food As Medicine,Cook County Health,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,0,1,NA,NA
Cook County,ARPA State and Local Fiscal Recovery Funds,Food Security Assistance,Cook County Bureau of Economic Development,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,0,1,NA,NA
Cook County,ARPA State and Local Fiscal Recovery Funds,Medical Debt Relief Initiative (Abolish Medical Debt),Cook County Offices Under the President,NA,NA,Household Investment,Household Supportive Services,NA,2023-06-30,2024-12-31,0,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,DHS Fund Deposit for Welcoming Centers,Illinois Department of Human Services,NA,NA,Household Investment,Direct Cash Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Immigrant Integration Services,Illinois Department of Human Services,NA,NA,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Legal Assistance to Migrants,Illinois Department of Human Services,NA,NA,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
Illinois,ARPA State and Local Fiscal Recovery Funds,Welcoming Centers,Illinois Department of Human Services,NA,NA,Household Investment,Targeted Economic Assistance,NA,2023-06-30,2024-12-31,0,1,NA,NA
