category,agency,sub_agency,funding_type,description,expiration,total_funding_b,cfda,program_name,ffy,recipient_name,amount,amount_type,funding_agency,funding_sub_agency
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,543732.02,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,1948804,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,1044722,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,190251.54,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,784000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible funding source to State and local governments for transportation projects and programs to help meet the requirements of the Clean Air Act.,4 years,13.2,20.204999999999998,Congestion Mitigation and Air Quality Improvement Program,2022,Illinois - Chicago Area,5207755,Award,NA,NA
Water,Environmental Protection Agency,State and Tribal Assistance Grants,Revolving fund loans or grants,Includes lead replacement line funding,Available until expended,NA,66.468000000000004,Drinking Water State Revolving Fund,2022,Illinois - Chicago Area,67885000,Award,NA,NA
Transit,Department of Transportation,FTA,Competitive,"Funds fixed guideway investments including new and expanded rapid rail, commuter rail, light rail, streetcars, bus rapid transit, and ferries, as well as corridor-based bus rapid transit investments that emulate the features of rail.",Permanent program,23,20.5,Fixed Guideway Capital Investment Grants,2022,Chicago Transit Authority,265476132,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,107455463,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,29057779,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,45777736,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,42995096,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,55052,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Flexible state funding; To achieve a significant reduction in traffic fatalities and serious injuries on all public roads, including non-State-owned public roads and roads on tribal land.",NA,15.56,20.204999999999998,Highway Safety Improvement Program,2022,Illinois - Chicago Area,5999845,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Flexible state funding; To achieve a significant reduction in traffic fatalities and serious injuries on all public roads, including non-State-owned public roads and roads on tribal land.",NA,15.56,20.204999999999998,Highway Safety Improvement Program,2022,Illinois - Chicago Area,552000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,To improve the efficient movement of freight on the National Highway Freight Network (NHFN),Permanent program,7.15,20.204999999999998,National Highway Freight Program,2022,Illinois - Chicago Area,70000000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,276783.11,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,2157229,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,3149277,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,132000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,2369386.8,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1436389.04,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,864904.76,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,324489.54,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,410278.46,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,3092070,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1072423.26,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1011988,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,212584.37,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,5235123,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1228632.91,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,222695.26,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,464008.98,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,138096.54,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1442349,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,4994855,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,31537194,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,913562,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1026185.97,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,721025,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,869018,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,689304,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,912291.67,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,325099.03,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,255519,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,5636549,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,2423691,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,324474.4,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1514574.94,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1644092,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,32566997,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,170722.67,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,1160646.13,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,128264.98,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,"Supports the National Highway System (new facilities construction, maintenance, meeting performance targets as set by each state, and increasing climate resiliency)",4 years,148,20.204999999999998,National Highway Performance Program,2022,Illinois - Chicago Area,14108687,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,Office of the Secretary,Competitive,The RAISE program provides supplemental funding for grants to the State and local entities listed above on a competitive basis for projects that will have a significant local/regional impact.,4 year,7.5,20.933,RAISE - Local and Regional Project Assistance Grants,2022,Chicago,20000000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,12443760.69,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2915098,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1515591,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,228565.75,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,462880,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,758120,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,920000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,450784.06,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,409650.61,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,5030988.21,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,714480,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1155000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1991364,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,129592.8,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,229887.42,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,556168,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,596000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2272846,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,465000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,629741,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,106461.09,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1318207,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1507902,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,619867,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2781210,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,3377707,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,3909247,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,627107.41,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,186536,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,229125.28,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1775208,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1752938,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,681000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,860650,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,599363.69,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,3800000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,473278.62,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2521000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,10000000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,301029,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,7830600,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,2482181,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,6680000,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,105546.12,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,3826189,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1593976,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,824872.8,Award,NA,NA
"Roads, Bridges, and Major Projects",Department of Transportation,FHWA,Formula,Flexible state funding,4 years,72,20.204999999999998,Surface Transportation Block Grant Program,2022,Illinois - Chicago Area,1454741,Award,NA,NA
